s,p,label,label2,label3
https://dblp.org/streams/conf/aacc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Asian Applied Computing Conference (AACC),Asian Applied Computing Conference (AACC),Asian Applied Computing Conference (AACC)
https://dblp.org/streams/conf/aacl,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics (AACL),Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics (AACL),Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics (AACL)
https://dblp.org/streams/conf/aadebug,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Automated and Algorithmic Debugging (AADEBUG),Automated and Algorithmic Debugging (AADEBUG),Automated and Algorithmic Debugging (AADEBUG)
https://dblp.org/streams/conf/aadios,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Algebraic and Algorithmic Aspects of Differential and Integral Operators (AADIOS),Algebraic and Algorithmic Aspects of Differential and Integral Operators (AADIOS),Algebraic and Algorithmic Aspects of Differential and Integral Operators (AADIOS)
https://dblp.org/streams/conf/aaecc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,"International Symposium on Applied Algebra, Algebraic Algorithms and Error-Correcting Codes (AAECC)","International Symposium on Applied Algebra, Algebraic Algorithms and Error-Correcting Codes (AAECC)","International Symposium on Applied Algebra, Algebraic Algorithms and Error-Correcting Codes (AAECC)"
https://dblp.org/streams/conf/aafd,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Apprentissage Artificiel et Fouille de Données (AAFD),Apprentissage Artificiel et Fouille de Données (AAFD),Apprentissage Artificiel et Fouille de Données (AAFD)
https://dblp.org/streams/conf/aag,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Advances in Architectural Geometry (AAG),Advances in Architectural Geometry (AAG),Advances in Architectural Geometry (AAG)
https://dblp.org/streams/conf/aagpw,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Automated Assessment and Guidance of Project Work (AAGPW),Workshop on Automated Assessment and Guidance of Project Work (AAGPW),Workshop on Automated Assessment and Guidance of Project Work (AAGPW)
https://dblp.org/streams/conf/aaia,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Conference on Advances in Artificial Intelligence and Applications (AAIA),International Conference on Advances in Artificial Intelligence and Applications (AAIA),International Conference on Advances in Artificial Intelligence and Applications (AAIA)
https://dblp.org/streams/conf/aaim,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Algorithmic Aspects in Information and Management (AAIM),Algorithmic Aspects in Information and Management (AAIM),Algorithmic Aspects in Information and Management (AAIM)
https://dblp.org/streams/conf/aaip,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Workshop on Approaches and Applications of Inductive Programming (AAIP),International Workshop on Approaches and Applications of Inductive Programming (AAIP),International Workshop on Approaches and Applications of Inductive Programming (AAIP)
https://dblp.org/streams/conf/aaltd,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Workshop on Advanced Analytics and Learning on Temporal Data (AALTD),Workshop on Advanced Analytics and Learning on Temporal Data (AALTD),Workshop on Advanced Analytics and Learning on Temporal Data (AALTD)
https://dblp.org/streams/conf/aamas,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,European Symposium on Adaptive and Learning Agents and Multi-Agent Systems (ALAMAS),European Symposium on Adaptive and Learning Agents and Multi-Agent Systems (ALAMAS),European Symposium on Adaptive and Learning Agents and Multi-Agent Systems (ALAMAS)
